sub_sector,quarter,lm_mean,finbert_mean,gpt_mean,n_companies,sector
Railroads,2024Q1,0.1934958901261612,0.40940423431152817,0.2348920094793589,4,Industrials
Railroads,2024Q2,0.18503516572555886,0.44572655691876445,0.29165972159313946,4,Industrials
Railroads,2024Q3,0.19009952181058737,0.3975046609123994,0.2466953239494223,4,Industrials
Rental & Leasing Services,2023Q4,0.16743827160493827,0.3196083784224121,0.26481481481481484,1,Industrials
Rental & Leasing Services,2024Q1,0.24096045197740112,0.4620747048628785,0.3754385964912281,1,Industrials
Rental & Leasing Services,2024Q2,0.1776255707762557,0.41246692374450705,0.34520547945205476,1,Industrials
Rental & Leasing Services,2024Q3,0.2366120218579235,0.361592274746995,0.2721311475409836,1,Industrials
Scientific & Technical Instruments,2023Q4,0.17844444444444443,0.4359108087917169,0.33066666666666666,1,Industrials
Scientific & Technical Instruments,2024Q1,0.2904320987654321,0.4652400441829943,0.3074074074074074,1,Industrials
Scientific & Technical Instruments,2024Q2,0.2243421052631579,0.496549215376083,0.3026315789473684,1,Industrials
Scientific & Technical Instruments,2024Q3,0.2053921568627451,0.47315682392731745,0.27058823529411763,1,Industrials
Software - Application,2024Q1,0.16287878787878787,0.2676147854160235,0.1621212121212121,1,Industrials
Software - Application,2024Q3,0.1247534516765286,0.28029958910402464,0.1928994082840237,1,Industrials
Software - Infrastructure,2023Q4,0.12957395415767295,0.4349125307451071,0.34725274725274724,2,Industrials
Software - Infrastructure,2024Q1,0.18473060585736645,0.32230424467950397,0.20344287949921752,2,Industrials
Software - Infrastructure,2024Q2,0.16334816462736373,0.4524235191750594,0.37836484983314794,2,Industrials
Software - Infrastructure,2024Q3,0.18966450216450215,0.5089494861361019,0.43961038961038956,2,Industrials
Specialty Business Services,2023Q4,0.1690253920836445,0.4378773877053759,0.32953696788648246,2,Industrials
Specialty Business Services,2024Q1,0.21515151515151515,0.5801062537357211,0.3757575757575758,1,Industrials
Specialty Business Services,2024Q2,0.1954652756625038,0.4679819788964138,0.3943801401157478,2,Industrials
Specialty Business Services,2024Q3,0.2278671215074724,0.5136564594775631,0.41539961013645227,2,Industrials
Specialty Industrial Machinery,2023Q4,0.15620596295226338,0.39795652999283976,0.266527736168391,14,Industrials
Specialty Industrial Machinery,2024Q1,0.1513305484846153,0.4079607361792715,0.28351887046088425,14,Industrials
Specialty Industrial Machinery,2024Q2,0.14234101145603942,0.3557292440498161,0.25073762577158093,14,Industrials
Specialty Industrial Machinery,2024Q3,0.13919574476997038,0.32557801188039165,0.22093450594835892,14,Industrials
Tools & Accessories,2023Q4,0.1171303873431533,0.38918080648133735,0.270392798690671,2,Industrials
Tools & Accessories,2024Q1,0.12956312977615475,0.31994647419162897,0.15913978494623654,2,Industrials
Tools & Accessories,2024Q2,0.15915800282377102,0.35995201846529273,0.2721216788602233,2,Industrials
Tools & Accessories,2024Q3,0.13569182389937107,0.33207421167237455,0.18830188679245283,2,Industrials
Trucking,2024Q1,0.3138576779026217,0.5138575227439319,0.3415730337078652,1,Industrials
Trucking,2024Q2,0.16292134831460675,0.37942403986045486,0.21123595505617979,1,Industrials
Trucking,2024Q3,0.15333333333333335,0.44423339838265546,0.26222222222222225,1,Industrials
Unknown,2023Q4,0.2284644194756554,0.5771991796529946,0.5101123595505618,1,Industrials
Unknown,2024Q1,0.22979797979797978,0.5044199186236118,0.4393939393939394,1,Industrials
Unknown,2024Q2,0.22786458333333334,0.5617826731104287,0.496875,1,Industrials
Unknown,2024Q3,0.222636815920398,0.5069299500032481,0.42686567164179107,1,Industrials
Waste Management,2023Q4,0.15041035353535354,0.390819852181294,0.2890151515151515,2,Industrials
Waste Management,2024Q1,0.17284115138592748,0.3583404385445784,0.2798773987206823,2,Industrials
Waste Management,2024Q2,0.19286566556079388,0.4357399366875212,0.2851754845468832,2,Industrials
Waste Management,2024Q3,0.15167168890802124,0.417968264314108,0.27586454297603674,2,Industrials
